scenario,ev_background_load_mbps,traffic_class,pdr,deadline_violation_rate,deadline_penalized_mean_ms,mean_delay_ms,delay_p95_ms,throughput_mbps
baseline,0.0,ALERT_TOTAL,"1.000 [0.999, 1.000]","0.001 [0.000, 0.002]","7.538 [7.430, 7.723]","7.530 [7.432, 7.701]","9.590 [9.270, 10.15]","0.031 [0.030, 0.031]"
baseline,0.0,DIAG_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","7.955 [7.753, 8.283]","7.936 [7.754, 8.234]","9.900 [9.680, 10.16]","0.093 [0.093, 0.093]"
baseline,0.0,FAULT_TOTAL,"1.000 [0.999, 1.000]","0.031 [0.010, 0.063]","8.317 [8.156, 8.615]","8.318 [8.155, 8.617]","10.41 [9.330, 12.48]","0.867 [0.866, 0.868]"
baseline,0.0,TOTAL,"1.000 [1.000, 1.000]","0.024 [0.008, 0.050]","8.218 [8.055, 8.514]","8.215 [8.055, 8.504]","10.28 [9.387, 11.97]","0.991 [0.990, 0.992]"
baseline,5.0,ALERT_TOTAL,"0.997 [0.993, 1.000]","0.057 [0.010, 0.120]","14.36 [6.194, 25.40]","14.52 [6.194, 25.62]","28.34 [11.08, 55.11]","0.031 [0.030, 0.031]"
baseline,5.0,DIAG_TOTAL,"0.995 [0.988, 1.000]","0.014 [0.001, 0.037]","18.26 [6.459, 35.79]","17.25 [6.274, 34.81]","36.69 [11.05, 81.87]","0.093 [0.092, 0.093]"
baseline,5.0,EV_BACKGROUND_TOTAL,"0.997 [0.991, 1.000]","0.000 [0.000, 0.000]","16.92 [6.233, 34.15]","17.31 [6.250, 34.88]","38.08 [11.42, 83.52]","5.099 [5.071, 5.116]"
baseline,5.0,FAULT_TOTAL,"0.995 [0.989, 1.000]","0.082 [0.024, 0.159]","22.23 [6.999, 47.24]","22.74 [7.052, 48.21]","39.30 [11.81, 86.56]","0.862 [0.856, 0.867]"
baseline,5.0,TOTAL,"0.995 [0.989, 1.000]","0.070 [0.020, 0.135]","21.17 [6.869, 44.04]","21.42 [6.881, 45.03]","38.29 [11.64, 84.70]","0.986 [0.979, 0.991]"
baseline,10.0,ALERT_TOTAL,"0.991 [0.979, 0.999]","0.080 [0.020, 0.159]","122.8 [7.746, 347.7]","155.7 [7.837, 445.9]","162.1 [12.34, 454.3]","0.030 [0.030, 0.031]"
baseline,10.0,DIAG_TOTAL,"0.979 [0.945, 0.999]","0.023 [0.001, 0.063]","36.08 [7.675, 87.29]","100.4 [7.267, 281.6]","159.2 [10.36, 448.3]","0.091 [0.088, 0.093]"
baseline,10.0,EV_BACKGROUND_TOTAL,"0.986 [0.967, 0.998]","0.000 [0.000, 0.000]","87.20 [7.716, 241.4]","137.2 [7.933, 388.1]","162.0 [12.35, 454.1]","10.08 [9.859, 10.22]"
baseline,10.0,FAULT_TOTAL,"0.982 [0.952, 0.998]","0.090 [0.031, 0.169]","67.72 [7.975, 182.3]","156.0 [8.196, 446.2]","162.3 [12.56, 454.4]","0.850 [0.823, 0.866]"
baseline,10.0,TOTAL,"0.982 [0.953, 0.998]","0.079 [0.026, 0.150]","65.74 [7.916, 176.4]","151.0 [8.047, 431.7]","161.8 [12.27, 453.7]","0.972 [0.941, 0.990]"
baseline,15.0,ALERT_TOTAL,"0.993 [0.980, 1.000]","0.057 [0.000, 0.130]","108.4 [5.015, 310.4]","151.9 [5.016, 440.0]","157.3 [7.980, 449.2]","0.030 [0.030, 0.031]"
