scenario,ev_background_load_mbps,seed,traffic_class,qfi,five_qi,rule_precedence,latency_deadline_ms,pdr_target,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,pdr,mean_delay_ms,delay_p95_ms,deadline_violation_rate,deadline_penalized_mean_ms,throughput_mbps
baseline,0.0,1,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,215,215,0,81270,81270,1,7.35859,9.25,0,7.35859,0.0324981
baseline,0.0,1,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,8.04649,10.25,0,8.04649,0.0932621
baseline,0.0,1,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2982,2982,0,3232488,3232488,1,8.14036,9.25,0.00871898,8.14036,0.861952
baseline,0.0,1,TOTAL,-1,AGGREGATE,0,0,0,3797,3797,0,4012158,4012158,1,8.08126,9.40802,0.00684751,8.08126,0.987712
baseline,0.0,2,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,189,189,0,71442,71442,1,7.52243,9.25,0,7.52243,0.0286462
baseline,0.0,2,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.72067,9.75,0,7.72067,0.0932621
baseline,0.0,2,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2981,2981,0,3231404,3231404,1,8.17762,9.75,0.00872191,8.17762,0.861505
baseline,0.0,2,TOTAL,-1,AGGREGATE,0,0,0,3770,3770,0,4001246,4001246,1,8.07205,9.72493,0.00689655,8.07205,0.983413
baseline,0.0,3,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,210,210,0,79380,79380,1,7.40381,9.25,0,7.40381,0.0319002
baseline,0.0,3,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.64401,8.75,0,7.64401,0.0932621
baseline,0.0,3,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2998,2998,0,3249832,3249832,1,8.12911,9.25,0.00833889,8.12911,0.866519
baseline,0.0,3,TOTAL,-1,AGGREGATE,0,0,0,3808,3808,0,4027612,4027612,1,8.01268,9.17122,0.00656513,8.01268,0.991681
baseline,0.0,4,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,209,209,0,79002,79002,1,7.49101,9.25,0,7.49101,0.031722
baseline,0.0,4,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.64899,9.75,0,7.64899,0.0932621
baseline,0.0,4,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,3012,3012,0,3265008,3265008,1,8.14414,9.25,0.00763612,8.14414,0.870565
baseline,0.0,4,TOTAL,-1,AGGREGATE,0,0,0,3821,3821,0,4042410,4042410,1,8.03066,9.32851,0.00601937,8.03066,0.995549
baseline,0.0,5,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,196,196,0,74088,74088,1,7.4727,9.75,0,7.4727,0.02967
baseline,0.0,5,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.68982,9.75,0,7.68982,0.0932621
baseline,0.0,5,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2987,2987,0,3237908,3237908,1,8.17299,9.25,0.00803482,8.17299,0.863239
baseline,0.0,5,TOTAL,-1,AGGREGATE,0,0,0,3783,3783,0,4010396,4010396,1,8.06008,9.35521,0.00634417,8.06008,0.986171
baseline,0.0,6,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,197,197,0,74466,74466,1,7.59304,9.25,0,7.59304,0.0298109
baseline,0.0,6,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.98401,10.25,0,7.98401,0.0932598
baseline,0.0,6,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2994,2994,0,3245496,3245496,1,8.18998,9.25,0.00901804,8.18998,0.865262
baseline,0.0,6,TOTAL,-1,AGGREGATE,0,0,0,3791,3791,0,4018362,4018362,1,8.12636,9.40827,0.00712213,8.12636,0.988332
baseline,0.0,7,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,208,208,0,78624,78624,1,7.31537,9.25,0,7.31537,0.0314629
baseline,0.0,7,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.66482,9.75,0,7.66482,0.0932621
baseline,0.0,7,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2984,2984,0,3234656,3234656,1,8.18057,9.75,0.0107239,8.18057,0.862386
baseline,0.0,7,TOTAL,-1,AGGREGATE,0,0,0,3792,3792,0,4011680,4011680,1,8.0515,9.72257,0.00843882,8.0515,0.987111
baseline,0.0,8,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,200,200,0,75600,75600,1,7.47702,9.25,0,7.47702,0.0302399
baseline,0.0,8,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.67647,9.75,0,7.67647,0.0932621
baseline,0.0,8,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2990,2990,0,3241160,3241160,1,8.16826,9.25,0.00869565,8.16826,0.864106
baseline,0.0,8,TOTAL,-1,AGGREGATE,0,0,0,3790,3790,0,4015160,4015160,1,8.05393,9.32916,0.00686016,8.05393,0.987608
baseline,0.0,9,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,209,209,0,79002,79002,1,7.40736,9.25,0,7.40736,0.0317595
baseline,0.0,9,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.65149,8.75,0,7.65149,0.0932621
baseline,0.0,9,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2998,2998,0,3249832,3249832,1,8.15306,9.25,0.00767178,8.15306,0.866577
baseline,0.0,9,TOTAL,-1,AGGREGATE,0,0,0,3807,3807,0,4027234,4027234,1,8.03307,9.1712,0.0060415,8.03307,0.991598
baseline,0.0,10,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,214,214,0,80892,80892,1,7.39156,9.25,0,7.39156,0.0324378
baseline,0.0,10,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.79733,9.75,0,7.79733,0.0932621
baseline,0.0,10,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,3005,3005,0,3257420,3257420,1,8.14752,9.25,0.00965058,8.14752,0.8686
baseline,0.0,10,TOTAL,-1,AGGREGATE,0,0,0,3819,3819,0,4036712,4036712,1,8.05014,9.32855,0.00759361,8.05014,0.9943
baseline,0.0,11,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,191,191,0,72198,72198,1,7.54284,9.75,0,7.54284,0.028966
baseline,0.0,11,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.72984,9.75,0,7.72984,0.0932621
baseline,0.0,11,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2989,2989,0,3240076,3240076,1,8.15841,9.25,0.00970224,8.15841,0.863817
baseline,0.0,11,TOTAL,-1,AGGREGATE,0,0,0,3780,3780,0,4010674,4010674,1,8.05928,9.35463,0.00767196,8.05928,0.986045
baseline,0.0,12,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,215,215,0,81270,81270,1,7.43564,9.25,0,7.43564,0.0327263
baseline,0.0,12,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.99981,10.25,0,7.99981,0.0932598
baseline,0.0,12,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2987,2987,0,3237908,3237908,1,8.1752,9.25,0.0113827,8.1752,0.863196
baseline,0.0,12,TOTAL,-1,AGGREGATE,0,0,0,3802,3802,0,4017578,4017578,1,8.1057,9.40781,0.00894266,8.1057,0.989182
baseline,0.0,13,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,214,214,0,80892,80892,1,7.42819,9.25,0,7.42819,0.0325659
baseline,0.0,13,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.69818,9.75,0,7.69818,0.0932621
baseline,0.0,13,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,3013,3013,0,3266092,3266092,1,8.13488,9.25,0.0066379,8.13488,0.870912
baseline,0.0,13,TOTAL,-1,AGGREGATE,0,0,0,3827,3827,0,4045384,4045384,1,8.0269,9.32839,0.00522603,8.0269,0.99674
baseline,0.0,14,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,207,205,2,78246,77490,0.990338,11.2519,22.25,0.0289855,11.6262,0.0310557
baseline,0.0,14,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,598,2,698400,696072,0.996667,14.0007,13.75,0.00333333,14.9541,0.0929466
baseline,0.0,14,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,3002,2976,26,3254168,3225984,0.991339,15.0241,59.25,0.668221,14.9806,0.860447
baseline,0.0,14,TOTAL,-1,AGGREGATE,0,0,0,3809,3779,30,4030814,3999546,0.992124,14.6575,50.0428,0.528748,14.7941,0.984449
baseline,0.0,15,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,194,194,0,73332,73332,1,7.57031,9.25,0,7.57031,0.0293239
baseline,0.0,15,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.96568,10.25,0,7.96568,0.0932598
baseline,0.0,15,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,2987,2987,0,3237908,3237908,1,8.18608,9.25,0.0110479,8.18608,0.863253
baseline,0.0,15,TOTAL,-1,AGGREGATE,0,0,0,3781,3781,0,4009640,4009640,1,8.11951,9.40869,0.00872785,8.11951,0.985837
baseline,0.0,16,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,205,205,0,77490,77490,1,7.52624,9.25,0,7.52624,0.0312144
baseline,0.0,16,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.88151,10.25,0,7.88151,0.0932621
baseline,0.0,16,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,3008,3008,0,3260672,3260672,1,8.11021,9.25,0.00797872,8.11021,0.869322
baseline,0.0,16,TOTAL,-1,AGGREGATE,0,0,0,3813,3813,0,4036562,4036562,1,8.04282,9.40736,0.00629426,8.04282,0.993799
baseline,0.0,17,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,206,206,0,77868,77868,1,7.47922,9.25,0,7.47922,0.0313296
baseline,0.0,17,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.95564,10.25,0,7.95564,0.0932621
baseline,0.0,17,FAULT_TOTAL,1,DEFAULT_QOS_FLOW,10,10,0.9999,3003,3003,0,3255252,3255252,1,8.15101,9.25,0.00965701,8.15101,0.867964
baseline,0.0,17,TOTAL,-1,AGGREGATE,0,0,0,3809,3809,0,4031520,4031520,1,8.0839,9.40752,0.00761355,8.0839,0.992556
baseline,0.0,18,ALERT_TOTAL,1,DEFAULT_QOS_FLOW,50,50,0.99,213,213,0,80514,80514,1,7.49156,9.25,0,7.49156,0.0322434
baseline,0.0,18,DIAG_TOTAL,1,DEFAULT_QOS_FLOW,90,300,0.95,600,600,0,698400,698400,1,7.61067,9.75,0,7.61067,0.0932621
