load_mbps,scenario,diag_pdr,alert_pdr,fault_pdr,diag_deadline_violation_rate,alert_deadline_violation_rate,fault_deadline_violation_rate,alert_deadline_penalized_mean_ms,fault_deadline_penalized_mean_ms
0,baseline,"1.000 [1.000, 1.000]","1.000 [0.999, 1.000]","1.000 [0.999, 1.000]","0.000 [0.000, 0.000]","0.001 [0.000, 0.002]","0.031 [0.010, 0.063]","7.538 [7.430, 7.723]","8.317 [8.156, 8.615]"
0,slicing,"1.000 [1.000, 1.000]","1.000 [0.999, 1.000]","1.000 [0.999, 1.000]","0.000 [0.000, 0.000]","0.020 [0.014, 0.027]","0.137 [0.117, 0.167]","13.13 [12.51, 13.87]","8.851 [8.629, 9.256]"
15,baseline,"0.980 [0.942, 1.000]","0.993 [0.980, 1.000]","0.984 [0.954, 1.000]","0.021 [0.000, 0.060]","0.057 [0.000, 0.130]","0.064 [0.006, 0.140]","108.4 [5.015, 310.4]","50.29 [5.305, 135.0]"
15,slicing,"0.979 [0.939, 1.000]","0.999 [0.997, 1.000]","0.999 [0.997, 1.000]","0.029 [0.000, 0.074]","0.002 [0.000, 0.006]","0.016 [0.005, 0.033]","3.570 [3.369, 3.881]","4.624 [3.955, 5.629]"
20,baseline,"0.967 [0.916, 1.000]","0.992 [0.978, 1.000]","0.979 [0.944, 1.000]","0.036 [0.000, 0.091]","0.041 [0.000, 0.101]","0.057 [0.002, 0.122]","150.2 [4.828, 395.1]","74.86 [5.025, 181.6]"
20,slicing,"0.966 [0.913, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","0.048 [0.000, 0.109]","0.000 [0.000, 0.000]","0.001 [0.001, 0.002]","3.033 [3.004, 3.067]","3.334 [3.267, 3.447]"
23,baseline,"0.932 [0.873, 0.979]","0.990 [0.973, 1.000]","0.973 [0.934, 0.998]","0.113 [0.044, 0.196]","0.140 [0.060, 0.240]","0.157 [0.060, 0.260]","246.7 [74.37, 478.7]","211.3 [86.04, 365.0]"
23,slicing,"0.920 [0.856, 0.975]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","0.113 [0.044, 0.197]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","2.936 [2.909, 2.973]","3.114 [3.031, 3.249]"
24,baseline,"0.916 [0.851, 0.973]","0.988 [0.971, 0.999]","0.966 [0.929, 0.992]","0.135 [0.053, 0.227]","0.160 [0.060, 0.260]","0.160 [0.060, 0.260]","313.8 [108.5, 572.6]","248.5 [102.3, 418.2]"
24,slicing,"0.916 [0.850, 0.973]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","0.135 [0.052, 0.227]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","2.933 [2.907, 2.971]","3.080 [2.995, 3.210]"
30,baseline,"0.315 [0.286, 0.341]","0.946 [0.926, 0.960]","0.811 [0.776, 0.837]","0.885 [0.882, 0.889]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1529 [1454, 1649]","1274 [1269, 1281]"
30,slicing,"0.306 [0.279, 0.331]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","0.885 [0.882, 0.888]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","2.942 [2.916, 2.979]","3.051 [2.963, 3.194]"
40,baseline,"0.110 [0.103, 0.117]","0.881 [0.866, 0.893]","0.625 [0.601, 0.644]","0.912 [0.911, 0.912]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1442 [1360, 1580]","989.7 [978.5, 1006]"
40,slicing,"0.107 [0.099, 0.117]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","0.912 [0.911, 0.912]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","2.947 [2.924, 2.983]","3.052 [2.965, 3.192]"
