scenario,ev_background_load_mbps,traffic_class,n_seeds,qfi,five_qi,rule_precedence,latency_deadline_ms,pdr_target,pdr_mean,pdr_ci_low,pdr_ci_high,pdr_sd,deadline_violation_rate_mean,deadline_violation_rate_ci_low,deadline_violation_rate_ci_high,deadline_violation_rate_sd,deadline_penalized_mean_ms_mean,deadline_penalized_mean_ms_ci_low,deadline_penalized_mean_ms_ci_high,deadline_penalized_mean_ms_sd,mean_delay_ms_mean,mean_delay_ms_ci_low,mean_delay_ms_ci_high,mean_delay_ms_sd,delay_p95_ms_mean,delay_p95_ms_ci_low,delay_p95_ms_ci_high,delay_p95_ms_sd,throughput_mbps_mean,throughput_mbps_ci_low,throughput_mbps_ci_high,throughput_mbps_sd
baseline,0.0,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.99980676,0.9994202799999999,1.0,0.001366413143964877,0.00057971,0.0,0.0017391300000000002,0.004099168721216535,7.537885,7.4303688,7.722983200000001,0.6001597241729804,7.530399,7.4316666,7.7006026,0.5482100540115874,9.59,9.27,10.15,1.8528521863575076,0.030781538,0.030450246,0.031109858,0.0012123109547370716
baseline,0.0,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.99993334,0.99980002,1.0,0.0004713573803389569,6.666659999999999e-05,0.0,0.0001999998,0.0004714040493865108,7.9546106,7.753129399999999,8.2828624,1.0517173002506766,7.9355426,7.7535282,8.234058,0.9229889384390568,9.9,9.68,10.16,0.8820777882306049,0.09325557599999999,0.09324283400000001,0.093262008,4.45923785928872e-05
baseline,0.0,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.9998267799999999,0.9994803400000001,1.0,0.0012248503663713419,0.0305727284,0.010389116399999999,0.0633654296,0.1016779607810039,8.3167916,8.1555044,8.6145038,0.9727103206648937,8.317661600000001,8.155396999999999,8.6174868,0.978792558584425,10.41,9.33,12.48,7.063444265934233,0.8669762,0.86596028,0.8680093000000001,0.0037328003822703418
baseline,0.0,TOTAL,50,-1,AGGREGATE,0,0,0,0.99984248,0.9995274399999999,1.0,0.0011138346017250489,0.0241337308,0.0082275038,0.05015840699999999,0.0803688504896803,8.2179922,8.054764200000001,8.5136698,0.9621361068132912,8.2152602,8.054968800000001,8.5039566,0.9430874419118283,10.284675400000001,9.3873312,11.966321000000002,5.755255844646668,0.9910133000000001,0.9898912200000001,0.99211672,0.004052271392537218
baseline,5.0,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.9970666,0.99324212,1.0,0.012220856307884458,0.05710834,0.01014778,0.12048415999999999,0.20202328343329082,14.363265000000002,6.1938836,25.399628200000006,35.71061994671329,14.522781,6.1944388,25.622226,36.2255505941916,28.34,11.08,55.11,82.28594308003906,0.030671586,0.030319822,0.031019454,0.0012606380302328608
baseline,5.0,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.9948999999999999,0.9877333399999999,1.0,0.022937371599151265,0.014199999999999999,0.0006666660000000001,0.036700008000000006,0.07047641848421965,18.2579426,6.459487,35.7872956,55.85166729684806,17.2455106,6.273546799999999,34.813321800000004,54.302754617678374,36.69,11.05,81.87,142.74304872456548,0.09278602400000001,0.092083154,0.09326536200000002,0.0021615620568317478
baseline,5.0,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.99660416,0.9910425599999999,1.0,0.016784884647412342,0.0,0.0,0.0,0.0,16.924791,6.2332582,34.1484372,53.62360276911975,17.305369,6.249948999999999,34.8782806,54.368506741266714,38.08,11.42,83.52,143.85698716121522,5.098841,5.0713918,5.116423799999999,0.0872809376118759
baseline,5.0,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.99524258,0.9886713,1.0,0.02079782260590109,0.0822241552,0.023966032800000002,0.1585217372,0.25374731979655596,22.2299118,6.9987346000000015,47.238238200000005,80.21672262534659,22.7379778,7.0517872,48.2114018,80.83645208787776,39.3,11.81,86.56,148.5050761861736,0.86238448,0.8563386000000002,0.86692048,0.01965203640612736
baseline,5.0,TOTAL,50,-1,AGGREGATE,0,0,0,0.99528682,0.98891476,1.0,0.02064898320339976,0.07012605620000001,0.019666447199999996,0.1351931534,0.21889036815113605,21.1669194,6.8690984,44.04022480000001,73.60057118502206,21.4167414,6.8807664000000015,45.0334218,73.9671225724804,38.286152,11.643395600000002,84.6987512,143.80757267940888,0.9858420800000001,0.97913338,0.9909124999999999,0.02210115406520387
baseline,10.0,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.99099298,0.9794242799999999,0.9988177400000001,0.036526614201707885,0.0795131,0.01971014,0.15922324,0.27238554815616917,122.79840700000001,7.745959599999999,347.73150000000004,776.9362052485968,155.701887,7.837467200000001,445.9364928,1006.6914787086848,162.12,12.34,454.33,1006.4330366422289,0.030369563999999998,0.029679094,0.030901217999999998,0.002228506051400025
